Agency,Sub_contractor,Cluster,ULB,Quantity_to_be_Remediated_x,Date,Quantity_remediated_today,Balance_Quantity,percentage_of_completion,Cumulative_till_date,Quantity_to_be_Remediated_y,Machine_capacity_per_day,No_of_machines,Days_since_start
Tharuni,Tharuni,Kadapa Municipal Corporation,Kadapa,400000,5/22/2025,1436,379709,5.07275,20291,400000,2800,3,5/6/2025
Tharuni,Tharuni,Rajahmundry,Srikakulam,80978,5/22/2025,0,70776,12.59848354,10202,80978,1500,2,5/5/2025
Tharuni,Tharuni,Rajahmundry,Vizianagaram,30604,5/22/2025,0,18357,40.01764475,12247,30604,800,1,4/26/2025
Tharuni,Tharuni,Kakinada,Kakinada,300000,5/22/2025,0,298195,0.6016666667,1805,300000,3400,3,5/26/2025
Tharuni,Tharuni,Kakinada,Amalapuram,27543,5/22/2025,0,26405,4.131721308,1138,27543,600,1,5/11/2025
Tharuni,Tharuni,Chilakaluripet,Guntur,43811,5/22/2025,0,30444,30.51060236,13367,43811,900,1,4/9/2025
Zigma,Zigma,Nellore Municipal Corporation,Allipuram,35000,5/22/2025,0,19192,45.16571429,15808,35000,800,1,4/19/2025
Zigma,Zigma,Nellore Municipal Corporation,Donthali,289479,5/22/2025,0,289479,0,0,289479,1400,2,5/25/2025
Zigma,Zigma,GVMC,GVMC,201400,5/22/2025,1598,97541,51.56852036,103859,201400,1300,1,3/10/2025
Zigma,Zigma,Chittoor,Madanapalle,27532,5/22/2025,335,27154,1.372947843,378,27532,500,1,5/21/2025
Saurashtra,Saurashtra,Kurnool,Kurnool,67308,5/22/2025,1114,44358,34.09698699,22950,67308,1800,1,4/29/2025
Saurashtra,Saurashtra,Nandyal,Nandyal,80083,5/22/2025,632,61669,22.99364409,18414,80083,1800,1,4/28/2025
Tharuni,Tharuni,Kadapa Municipal Corporation,Kadapa,400000,5/21/2025,1468,381145,4.71375,18855,400000,2800,3,5/6/2025
Tharuni,Tharuni,Rajahmundry,Srikakulam,80978,5/21/2025,0,70776,12.59848354,10202,80978,1500,2,5/5/2025
Tharuni,Tharuni,Rajahmundry,Vizianagaram,30604,5/21/2025,0,18357,40.01764475,12247,30604,800,1,4/26/2025
Tharuni,Tharuni,Kakinada,Kakinada,300000,5/21/2025,0,298195,0.6016666667,1805,300000,3400,3,5/26/2025
Tharuni,Tharuni,Kakinada,Amalapuram,27543,5/21/2025,0,26405,4.131721308,1138,27543,600,1,5/11/2025
Tharuni,Tharuni,Chilakaluripet,Guntur,43811,5/21/2025,0,30444,30.51060236,13367,43811,900,1,4/9/2025
Zigma,Zigma,Nellore Municipal Corporation,Allipuram,35000,5/21/2025,115,19192,45.16571429,15808,35000,800,1,4/19/2025
Zigma,Zigma,Nellore Municipal Corporation,Donthali,289479,5/21/2025,0,289479,0,0,289479,1400,2,5/25/2025
Zigma,Zigma,GVMC,GVMC,201400,5/21/2025,1038,99139,50.77507448,102261,201400,1300,1,3/10/2025
Zigma,Zigma,Chittoor,Madanapalle,27532,5/21/2025,43,27489,0.1561818974,43,27532,500,1,5/21/2025
Saurashtra,Saurashtra,Kurnool,Kurnool,67308,5/21/2025,1453,45472,32.44190884,21836,67308,1800,1,4/29/2025
Saurashtra,Saurashtra,Nandyal,Nandyal,80083,5/21/2025,950,62301,22.20446287,17782,80083,1800,1,4/28/2025
Tharuni,Tharuni,Kadapa Municipal Corporation,Kadapa,400000,5/20/2025,898,382613,4.34675,17387,400000,2800,3,5/6/2025
Tharuni,Tharuni,Rajahmundry,Srikakulam,80978,5/20/2025,0,70776,12.59848354,10202,80978,1500,2,5/5/2025
Tharuni,Tharuni,Rajahmundry,Vizianagaram,30604,5/20/2025,0,18357,40.01764475,12247,30604,800,1,4/26/2025
Tharuni,Tharuni,Kakinada,Kakinada,300000,5/20/2025,0,298195,0.6016666667,1805,300000,3400,3,5/26/2025
Tharuni,Tharuni,Kakinada,Amalapuram,27543,5/20/2025,0,26405,4.131721308,1138,27543,600,1,5/11/2025
Tharuni,Tharuni,Chilakaluripet,Guntur,43811,5/20/2025,0,30444,30.51060236,13367,43811,900,1,4/9/2025
Zigma,Zigma,Nellore Municipal Corporation,Allipuram,35000,5/20/2025,0,19307,44.83714286,15693,35000,800,1,4/19/2025
Zigma,Zigma,Nellore Municipal Corporation,Donthali,289479,5/20/2025,0,289479,0,0,289479,1400,2,5/25/2025
Zigma,Zigma,GVMC,GVMC,201400,5/20/2025,384,100177,50.25963257,101223,201400,1300,1,3/10/2025
Zigma,Zigma,Chittoor,Madanapalle,27532,5/20/2025,0,27532,0,0,27532,500,1,5/21/2025
Saurashtra,Saurashtra,Kurnool,Kurnool,67308,5/20/2025,1756,46925,30.28317585,20383,67308,1800,1,4/29/2025
Saurashtra,Saurashtra,Nandyal,Nandyal,80083,5/20/2025,1241,63251,21.01803129,16832,80083,1800,1,4/28/2025
Tharuni,Tharuni,Kadapa Municipal Corporation,Kadapa,400000,5/19/2025,2085,383511,4.12225,16489,400000,2800,3,5/6/2025
Tharuni,Tharuni,Rajahmundry,Srikakulam,80978,5/19/2025,1589,70776,12.59848354,10202,80978,1500,2,5/5/2025
Tharuni,Tharuni,Rajahmundry,Vizianagaram,30604,5/19/2025,662,18357,40.01764475,12247,30604,800,1,4/26/2025
Tharuni,Tharuni,Kakinada,Kakinada,300000,5/19/2025,0,298195,0.6016666667,1805,300000,3400,3,5/26/2025
Tharuni,Tharuni,Kakinada,Amalapuram,27543,5/19/2025,0,26405,4.131721308,1138,27543,600,1,5/11/2025
Tharuni,Tharuni,Chilakaluripet,Guntur,43811,5/19/2025,0,30444,30.51060236,13367,43811,900,1,4/9/2025
Zigma,Zigma,Nellore Municipal Corporation,Allipuram,35000,5/19/2025,0,19307,44.83714286,15693,35000,800,1,4/19/2025
Zigma,Zigma,Nellore Municipal Corporation,Donthali,289479,5/19/2025,0,289479,0,0,289479,1400,2,5/25/2025
Zigma,Zigma,GVMC,GVMC,201400,5/19/2025,1066,100561,50.06896723,100839,201400,1300,1,3/10/2025
Zigma,Zigma,Chittoor,Madanapalle,27532,5/19/2025,0,27532,0,0,27532,500,1,5/21/2025
Saurashtra,Saurashtra,Kurnool,Kurnool,67308,5/19/2025,1862,48681,27.67427349,18627,67308,1800,1,4/29/2025
Saurashtra,Saurashtra,Nandyal,Nandyal,80083,5/19/2025,1306,64492,19.46838905,15591,80083,1800,1,4/28/2025
